material_id,formula,space_group,crystal_system,formation_energy_per_atom,band_gap,density,nsites,is_stable,energy_above_hull
mp-776976,CoOF,P2/m,Monoclinic,-1.5887629950000004,0.0,5.026136345679297,24,False,0.11805424500000061
mp-777061,MnOF,P1,Triclinic,-2.314886483060345,0.058800000000000185,4.412477627319314,24,False,0.07961941069442346
mp-777106,V2OF5,P1,Triclinic,-3.032462545625,1.4881,3.275092690683212,32,False,0.012172221041666376
mp-777296,MnOF,P2_1/c,Monoclinic,-1.8898949138936783,0.022599999999999953,4.395624524689652,24,False,0.5046109798610905
mp-777302,Sn2N2O,P1,Triclinic,-0.4395691005000003,0.18590000000000018,6.98853997110158,40,False,0.21231186049999984
mp-777314,Sn2N2O,P1,Triclinic,-0.44416903775000166,0.11629999999999985,7.242899315780001,40,False,0.207711923249998
mp-777319,FeOF,Pm,Monoclinic,-2.011958137777778,0.0,4.390778619637478,54,False,0.1134163274074087
mp-777326,Mn2OF3,Amm2,Orthorhombic,-2.6209139705603453,0.0,4.02590079845206,24,False,0.05958090805553784
mp-777337,VOF2,P1,Triclinic,-2.852002222083334,1.5960999999999999,3.5408369041713277,24,False,0.0068559832291663625
mp-777349,MnOF,P-1,Triclinic,-2.314707530977012,0.0,4.351372113098608,18,False,0.07979836277775743
mp-777354,MnOF,P2_1/c,Monoclinic,-2.3207425647270115,0.0,4.3577126516499245,24,False,0.07376332902775662
mp-777377,Co3OF5,C2/m,Monoclinic,-2.062726771111112,0.15470000000000006,4.538137753466259,18,False,0.06701352222222123
mp-777382,Ni3OF5,P-1,Triclinic,-1.9926408227777774,0.30299999999999994,4.686204006577688,18,False,0.0741193676851859
mp-777394,Sn2N2O,P-3m1,Trigonal,-0.46179129900000004,0.7619000000000007,6.554428570314307,40,False,0.1900896620000001
mp-777398,Co6OF11,Amm2,Orthorhombic,-2.19873559,0.6333,4.458278161979752,18,False,0.036735466666665495
mp-777440,V3OF11,P1,Triclinic,-2.867087757333333,1.6069999999999998,3.003700046870184,30,False,0.040328825833340964
mp-777483,Ge2N2O,Cc,Monoclinic,-0.6043310159999997,2.3342,4.705444855268448,10,False,0.21539930750000114
mp-777519,Mn6OF11,Pc,Monoclinic,-2.8333428076436777,0.39459999999999995,3.9138342087491047,36,False,0.03781139421296853
mp-777541,Fe2OF3,Pnma,Orthorhombic,-2.2636981354166665,1.6320000000000001,3.897830103386866,24,False,0.0940348096759207
mp-777544,Co2OF3,Amm2,Orthorhombic,-1.9486583422222215,0.6997999999999999,4.533908742944491,18,False,0.0753511877777786
mp-777546,NaSnO,P4/nmm,Tetragonal,-1.348088182126436,0.0,4.257977554525209,6,False,0.0860556229166658
mp-777723,V3OF11,Pc,Monoclinic,-2.897033669999999,1.8997,3.3543579088255333,30,False,0.0103829131666755
mp-777763,Mn6OF11,P-1,Triclinic,-2.829900987643678,0.4539000000000001,3.8818287247689707,36,False,0.04125321421296846
mp-777772,Mn2OF3,C2/m,Monoclinic,-2.6244894097270115,0.0,4.0043474850773615,24,False,0.05600546888887159
mp-777821,V2OF5,P3_121,Trigonal,-3.0265814891666665,0.6579000000000002,3.288044486503787,24,False,0.01969626375000111
mp-777843,Ge2N2O,P-3m1,Trigonal,-0.5834007562499999,2.3947000000000003,5.874255855969265,40,False,0.2363295672500012
mp-777999,VOF2,Cc,Monoclinic,-2.8537879891666678,0.7243999999999999,3.5702658051667777,24,False,0.0050702161458326955
mp-778194,Ge2N2O,Cc,Monoclinic,-0.6387104740000005,2.4301999999999997,4.602006817099421,10,False,0.18101984950000016
mp-778324,Co2OF3,Amm2,Orthorhombic,-1.9489509216666676,0.5689667573322906,4.564313730088695,30,False,0.07505860833333333
mp-778369,V3OF11,P1,Triclinic,-2.866900772666667,1.5402,3.007114613028667,30,False,0.04051581050000763
mp-778617,Ni3OF5,P-1,Triclinic,-1.9944843094444442,0.5882999999999999,4.632058383679824,18,False,0.0722758810185189
mp-778670,VOF2,P1,Triclinic,-2.856964617083333,1.7832,3.5483037599567497,24,False,0.00189358822916752
mp-778749,VOF2,P3_1,Trigonal,-2.85683134375,1.5198,3.5918593847567952,24,False,0.002026861562500315
mp-778791,Fe4OF7,P1,Triclinic,-2.4125896745833337,1.3306000000000002,4.111295336288271,24,False,0.061322510462959556
mp-778833,CoOF,Pmn2_1,Orthorhombic,-1.576666865,0.0,5.14664318300535,18,False,0.13015037500000037
mp-779009,Ni3OF5,P1,Triclinic,-1.9952351216666662,0.6993,4.642820137634433,18,False,0.07152506879629694
mp-779089,CoOF,P2/m,Monoclinic,-1.5614299149999995,0.0,4.939029647684557,18,False,0.1453873250000015
mp-779095,Mn3OF5,P-1,Triclinic,-2.7299899870881226,0.0,3.9407357839065544,18,False,0.045834553148142554
mp-779105,Cu6OF11,P1,Triclinic,-1.6978588983333343,0.0,5.064529862955675,18,False,0.02126731154513717
mp-779315,VOF,Pm,Monoclinic,-2.800994511250001,0.7536999999999998,4.091435140739222,24,False,0.05113844291666503
